date,XRX,dcf,Deviation
1990-09-07,17.68,,
1990-09-10,17.46,,
1990-09-11,17.35,,
1990-09-12,17.18,,
1990-09-13,17.18,,
1990-09-14,17.29,,
1990-09-17,16.96,,
1990-09-18,17.02,,
1990-09-19,16.58,,
1990-09-20,16.41,,
1990-09-21,16.14,,
1990-09-24,15.32,,
1990-09-25,14.55,,
1990-09-26,14.33,,
1990-09-27,14.6,,
1990-09-28,15.04,,
1990-10-01,15.92,,
1990-10-02,15.92,,
1990-10-03,15.32,,
1990-10-04,15.37,,
1990-10-05,15.15,,
1990-10-08,15.15,,
1990-10-09,14.49,,
1990-10-10,14.6,,
1990-10-11,14.38,,
1990-10-12,14.44,,
1990-10-15,13.89,,
1990-10-16,13.34,,
1990-10-17,13.5,,
1990-10-18,13.94,,
1990-10-19,14.27,,
1990-10-22,14.44,,
1990-10-23,13.83,,
1990-10-24,13.45,,
1990-10-25,13.39,,
1990-10-26,12.79,,
1990-10-29,12.9,,
1990-10-30,12.96,,
1990-10-31,12.96,,
1990-11-01,13.29,,
1990-11-02,13.61,,
1990-11-05,13.89,,
1990-11-06,13.72,,
1990-11-07,13.67,,
1990-11-08,13.78,,
1990-11-09,13.89,,
1990-11-12,14.6,,
1990-11-13,14.99,,
1990-11-14,14.99,,
1990-11-15,14.93,,
1990-11-16,14.93,,
1990-11-19,15.04,,
1990-11-20,14.99,,
1990-11-21,14.93,,
1990-11-23,14.88,,
1990-11-26,14.77,,
1990-11-27,14.71,,
1990-11-28,14.82,,
1990-11-29,14.99,,
1990-11-30,15.26,,
1990-12-03,14.99,,
1990-12-04,15.15,,
1990-12-05,16.14,,
1990-12-06,16.25,,
1990-12-07,16.19,,
1990-12-10,16.58,,
1990-12-11,16.36,,
1990-12-12,16.25,,
1990-12-13,15.97,,
1990-12-14,15.43,,
1990-12-17,15.32,,
1990-12-18,15.48,,
1990-12-19,15.54,,
1990-12-20,15.54,,
1990-12-21,15.54,,
1990-12-24,15.21,,
1990-12-26,15.15,,
1990-12-27,15.21,,
1990-12-28,15.48,,
1990-12-31,15.59,,
1991-01-02,15.92,,
1991-01-03,15.7,,
1991-01-04,15.87,,
1991-01-07,16.03,,
1991-01-08,16.74,,
1991-01-09,16.91,,
1991-01-10,17.46,,
1991-01-11,17.57,,
1991-01-14,17.29,,
1991-01-15,17.18,,
1991-01-16,17.73,,
1991-01-17,18.56,,
1991-01-18,19.21,,
1991-01-21,18.94,,
1991-01-22,18.28,,
1991-01-23,18.88,,
1991-01-24,19.27,,
1991-01-25,19.43,,
1991-01-28,19.54,,
1991-01-29,19.38,,
1991-01-30,19.05,,
1991-01-31,21.41,,
1991-02-01,21.41,,
1991-02-04,22.12,,
1991-02-05,21.79,,
1991-02-06,21.9,,
1991-02-07,21.79,,
1991-02-08,22.12,,
1991-02-11,22.73,,
1991-02-12,23.39,,
1991-02-13,23.39,,
1991-02-14,23.28,,
1991-02-15,23.83,,
1991-02-19,24.1,,
1991-02-20,23.88,,
1991-02-21,23.94,,
1991-02-22,24.04,,
1991-02-25,23.99,,
1991-02-26,24.15,,
1991-02-27,24.92,,
1991-02-28,24.92,,
1991-03-01,24.76,,
1991-03-04,25.09,,
1991-03-05,25.47,,
1991-03-06,25.47,,
1991-03-07,25.47,,
1991-03-08,25.64,,
1991-03-11,25.42,,
1991-03-12,25.69,,
1991-03-13,25.86,,
1991-03-14,24.65,,
1991-03-15,24.76,,
1991-03-18,24.59,,
1991-03-19,24.21,,
1991-03-20,23.83,,
1991-03-21,23.99,,
1991-03-22,23.5,,
1991-03-25,23.72,,
1991-03-26,24.48,,
1991-03-27,24.65,,
1991-03-28,25.03,,
1991-04-01,24.37,,
1991-04-02,25.2,,
1991-04-03,25.64,,
1991-04-04,25.53,,
1991-04-05,25.03,,
1991-04-08,25.14,,
1991-04-09,24.59,,
1991-04-10,24.65,,
1991-04-11,25.14,,
1991-04-12,25.47,,
1991-04-15,25.42,,
1991-04-16,25.58,,
1991-04-17,26.3,,
1991-04-18,26.19,,
1991-04-19,26.19,,
1991-04-22,25.53,,
1991-04-23,25.09,,
1991-04-24,24.7,,
1991-04-25,25.53,,
1991-04-26,25.75,,
1991-04-29,25.14,,
1991-04-30,25.03,,
1991-05-01,25.14,,
1991-05-02,25.31,,
1991-05-03,25.14,,
1991-05-06,24.98,,
1991-05-07,24.54,,
1991-05-08,24.87,,
1991-05-09,25.14,,
1991-05-10,24.59,,
1991-05-13,24.48,,
1991-05-14,24.1,,
1991-05-15,23.39,,
1991-05-16,23.88,,
1991-05-17,24.04,,
1991-05-20,23.66,,
1991-05-21,24.48,,
1991-05-22,24.81,,
1991-05-23,24.48,,
1991-05-24,25.2,,
1991-05-28,25.14,,
1991-05-29,25.25,,
1991-05-30,25.58,,
1991-05-31,25.47,,
1991-06-03,25.42,,
1991-06-04,25.2,,
1991-06-05,24.81,,
1991-06-06,24.15,,
1991-06-07,23.55,,
1991-06-10,22.89,,
1991-06-11,23.88,,
1991-06-12,23.72,,
1991-06-13,23.88,,
1991-06-14,23.94,,
1991-06-17,23.61,,
1991-06-18,23.66,,
1991-06-19,23.39,,
1991-06-20,23.39,,
1991-06-21,23.61,,
1991-06-24,23.11,,
1991-06-25,22.73,,
1991-06-26,22.84,,
1991-06-27,23.44,,
1991-06-28,23.72,,
1991-07-01,24.43,,
1991-07-02,23.94,,
1991-07-03,23.66,,
1991-07-05,23.66,,
1991-07-08,24.15,,
1991-07-09,24.04,,
1991-07-10,24.15,,
1991-07-11,24.37,,
1991-07-12,24.37,,
1991-07-15,24.59,,
1991-07-16,24.98,,
1991-07-17,24.92,,
1991-07-18,25.09,,
1991-07-19,25.14,,
1991-07-22,24.98,,
1991-07-23,24.59,,
1991-07-24,24.43,,
1991-07-25,24.87,,
1991-07-26,25.03,,
1991-07-29,25.25,,
1991-07-30,25.31,,
1991-07-31,24.48,,
1991-08-01,24.15,,
1991-08-02,24.26,,
1991-08-05,24.04,,
1991-08-06,24.43,,
1991-08-07,24.48,,
1991-08-08,24.26,,
1991-08-09,24.21,,
1991-08-12,24.26,,
1991-08-13,24.1,,
1991-08-14,24.48,,
1991-08-15,24.48,,
1991-08-16,24.15,,
1991-08-19,23.39,,
1991-08-20,23.44,,
1991-08-21,23.94,,
1991-08-22,24.92,,
1991-08-23,26.02,,
1991-08-26,25.97,,
1991-08-27,26.02,,
1991-08-28,25.86,,
1991-08-29,25.91,,
1991-08-30,25.75,,
1991-09-03,25.69,,
1991-09-04,25.58,,
1991-09-05,25.69,,
1991-09-06,25.47,,
1991-09-09,25.53,,
1991-09-10,25.47,,
1991-09-11,25.58,,
1991-09-12,25.47,,
1991-09-13,25.36,,
1991-09-16,25.14,,
1991-09-17,25.03,,
1991-09-18,25.31,,
1991-09-19,25.64,,
1991-09-20,25.47,,
1991-09-23,25.64,,
1991-09-24,26.57,,
1991-09-25,27.01,,
1991-09-26,26.62,,
1991-09-27,26.79,,
1991-09-30,26.79,,
1991-10-01,26.79,,
1991-10-02,27.17,,
1991-10-03,27.01,,
1991-10-04,26.84,,
1991-10-07,26.62,,
1991-10-08,26.9,,
1991-10-09,26.73,,
1991-10-10,26.24,,
1991-10-11,26.02,,
1991-10-14,26.73,,
1991-10-15,26.84,,
1991-10-16,26.9,,
1991-10-17,27.17,,
1991-10-18,27.28,,
1991-10-21,27.01,,
1991-10-22,26.79,,
1991-10-23,27.06,,
1991-10-24,26.95,,
1991-10-25,26.79,,
1991-10-28,27.06,,
1991-10-29,27.28,,
1991-10-30,27.67,,
1991-10-31,28.11,,
1991-11-01,28.05,,
1991-11-04,27.94,,
1991-11-05,27.56,,
1991-11-06,28.16,,
1991-11-07,28.44,,
1991-11-08,28.38,,
1991-11-11,28.16,,
1991-11-12,28.66,,
1991-11-13,28.66,,
1991-11-14,28.93,,
1991-11-15,27.67,,
1991-11-18,27.67,,
1991-11-19,27.23,,
1991-11-20,27.45,,
1991-11-21,27.67,,
1991-11-22,27.06,,
1991-11-25,26.73,,
1991-11-26,27.06,,
1991-11-27,27.06,,
1991-11-29,27.23,,
1991-12-02,27.56,,
1991-12-03,27.94,,
1991-12-04,28.11,,
1991-12-05,27.83,,
1991-12-06,27.89,,
1991-12-09,27.83,,
1991-12-10,27.61,,
1991-12-11,26.84,,
1991-12-12,27.67,,
1991-12-13,28.88,,
1991-12-16,28.77,,
1991-12-17,28.6,,
1991-12-18,28.55,,
1991-12-19,28.05,,
1991-12-20,28.55,,
1991-12-23,28.99,,
1991-12-24,29.42,,
1991-12-26,29.81,,
1991-12-27,29.86,,
1991-12-30,30.19,,
1991-12-31,30.08,,
1992-01-02,29.75,,
1992-01-03,29.31,,
1992-01-06,29.64,,
1992-01-07,30.08,,
1992-01-08,30.63,,
1992-01-09,29.75,,
1992-01-10,29.92,,
1992-01-13,30.03,,
1992-01-14,30.63,,
1992-01-15,31.18,,
1992-01-16,30.85,,
1992-01-17,31.13,,
1992-01-20,30.52,,
1992-01-21,30.19,,
1992-01-22,30.36,,
1992-01-23,30.63,,
1992-01-24,30.63,,
1992-01-27,30.41,,
1992-01-28,30.14,,
1992-01-29,30.96,,
1992-01-30,32.88,,
1992-01-31,33.87,,
1992-02-03,33.82,,
1992-02-04,35.24,,
1992-02-05,35.57,,
1992-02-06,35.79,,
1992-02-07,35.46,,
1992-02-10,34.97,,
1992-02-11,35.08,,
1992-02-12,35.24,,
1992-02-13,34.91,,
1992-02-14,34.8,,
1992-02-18,34.53,,
1992-02-19,34.8,,
1992-02-20,34.58,,
1992-02-21,34.37,,
1992-02-24,34.53,,
1992-02-25,34.26,,
1992-02-26,34.42,,
1992-02-27,34.97,,
1992-02-28,34.75,,
1992-03-02,34.15,,
1992-03-03,34.37,,
1992-03-04,34.53,,
1992-03-05,34.69,,
1992-03-06,33.54,,
1992-03-09,33.49,,
1992-03-10,33.6,,
1992-03-11,32.94,,
1992-03-12,32.44,,
1992-03-13,33.05,,
1992-03-16,32.99,,
1992-03-17,33.43,,
1992-03-18,33.82,,
1992-03-19,33.65,,
1992-03-20,33.76,,
1992-03-23,33.98,,
1992-03-24,34.2,,
1992-03-25,33.6,,
1992-03-26,32.83,,
1992-03-27,32.44,,
1992-03-30,32.17,,
1992-03-31,31.4,,
1992-04-01,31.9,,
1992-04-02,32.0,,
1992-04-03,32.33,,
1992-04-06,32.11,,
1992-04-07,31.51,,
1992-04-08,31.4,,
1992-04-09,32.61,,
1992-04-10,31.73,,
1992-04-13,32.5,,
1992-04-14,32.88,,
1992-04-15,32.94,,
1992-04-16,33.82,,
1992-04-20,33.16,,
1992-04-21,32.72,,
1992-04-22,32.94,,
1992-04-23,33.54,,
1992-04-24,34.2,,
1992-04-27,32.17,,
1992-04-28,32.66,,
1992-04-29,32.72,,
1992-04-30,32.55,,
1992-05-01,32.72,,
1992-05-04,32.72,,
1992-05-05,32.5,,
1992-05-06,32.39,,
1992-05-07,31.51,,
1992-05-08,31.73,,
1992-05-11,32.0,,
1992-05-12,31.62,,
1992-05-13,31.9,,
1992-05-14,31.79,,
1992-05-15,31.02,,
1992-05-18,31.35,,
1992-05-19,31.62,,
1992-05-20,31.79,,
1992-05-21,31.62,,
1992-05-22,32.33,,
1992-05-26,32.22,,
1992-05-27,32.72,,
1992-05-28,33.1,,
1992-05-29,32.94,,
1992-06-01,33.05,,
1992-06-02,33.38,,
1992-06-03,33.71,,
1992-06-04,33.38,,
1992-06-05,32.5,,
1992-06-08,32.06,,
1992-06-09,31.46,,
1992-06-10,31.18,,
1992-06-11,31.51,,
1992-06-12,31.24,,
1992-06-15,30.25,,
1992-06-16,30.19,,
1992-06-17,30.14,,
1992-06-18,29.86,,
1992-06-19,29.81,,
1992-06-22,29.64,,
1992-06-23,29.86,,
1992-06-24,29.92,,
1992-06-25,29.7,,
1992-06-26,29.81,,
1992-06-29,29.81,,
1992-06-30,30.63,,
1992-07-01,31.18,,
1992-07-02,30.63,,
1992-07-06,30.8,,
1992-07-07,30.47,,
1992-07-08,31.02,,
1992-07-09,30.91,,
1992-07-10,31.29,,
1992-07-13,31.51,,
1992-07-14,31.51,,
1992-07-15,31.29,,
1992-07-16,31.51,,
1992-07-17,31.35,,
1992-07-20,31.13,,
1992-07-21,31.51,,
1992-07-22,31.4,,
1992-07-23,31.57,,
1992-07-24,31.84,,
1992-07-27,32.28,,
1992-07-28,32.94,,
1992-07-29,32.33,,
1992-07-30,33.32,,
1992-07-31,32.83,,
1992-08-03,32.83,,
1992-08-04,33.27,,
1992-08-05,33.05,,
1992-08-06,32.99,,
1992-08-07,32.88,,
1992-08-10,32.66,,
1992-08-11,32.77,,
1992-08-12,32.66,,
1992-08-13,32.61,,
1992-08-14,32.5,,
1992-08-17,33.16,,
1992-08-18,32.99,,
1992-08-19,32.55,,
1992-08-20,32.94,,
1992-08-21,32.55,,
1992-08-24,32.44,,
1992-08-25,32.55,,
1992-08-26,32.77,,
1992-08-27,33.1,,
1992-08-28,33.21,,
1992-08-31,33.1,,
1992-09-01,33.21,,
1992-09-02,33.49,,
1992-09-03,33.65,,
1992-09-04,33.49,,
1992-09-08,33.32,,
1992-09-09,33.54,,
1992-09-10,33.93,,
1992-09-11,33.71,,
1992-09-14,34.04,,
1992-09-15,33.71,,
1992-09-16,33.82,,
1992-09-17,34.26,,
1992-09-18,34.48,,
1992-09-21,34.42,,
1992-09-22,33.87,,
1992-09-23,34.15,,
1992-09-24,34.75,,
1992-09-25,34.58,,
1992-09-28,34.75,,
1992-09-29,34.42,,
1992-09-30,34.53,,
1992-10-01,33.82,,
1992-10-02,33.82,,
1992-10-05,33.6,,
1992-10-06,33.87,,
1992-10-07,33.71,,
1992-10-08,33.87,,
1992-10-09,33.6,,
1992-10-12,34.26,,
1992-10-13,33.87,,
1992-10-14,34.31,,
1992-10-15,34.09,,
1992-10-16,34.42,,
1992-10-19,34.69,,
1992-10-20,34.58,,
1992-10-21,34.26,,
1992-10-22,34.2,,
1992-10-23,33.93,,
1992-10-26,34.37,,
1992-10-27,33.38,,
1992-10-28,33.38,,
1992-10-29,32.99,,
1992-10-30,32.61,,
1992-11-02,33.1,,
1992-11-03,33.05,,
1992-11-04,33.1,,
1992-11-05,32.55,,
1992-11-06,33.05,,
1992-11-09,32.94,,
1992-11-10,32.99,,
1992-11-11,33.6,,
1992-11-12,33.43,,
1992-11-13,33.76,,
1992-11-16,33.98,,
1992-11-17,33.49,,
1992-11-18,33.71,,
1992-11-19,33.71,,
1992-11-20,33.87,,
1992-11-23,33.82,,
1992-11-24,34.15,,
1992-11-25,34.48,,
1992-11-27,34.91,,
1992-11-30,34.58,,
1992-12-01,34.26,,
1992-12-02,34.26,,
1992-12-03,34.15,,
1992-12-04,34.26,,
1992-12-07,34.09,,
1992-12-08,34.48,,
1992-12-09,34.37,,
1992-12-10,34.2,,
1992-12-11,34.2,,
1992-12-14,34.2,,
1992-12-15,34.09,,
1992-12-16,34.2,,
1992-12-17,34.15,,
1992-12-18,34.26,,
1992-12-21,34.48,,
1992-12-22,34.86,,
1992-12-23,34.64,,
1992-12-24,34.86,,
1992-12-28,34.86,,
1992-12-29,34.64,,
1992-12-30,34.69,,
1992-12-31,34.8,,
1993-01-04,36.18,,
1993-01-05,36.95,,
1993-01-06,37.33,,
1993-01-07,37.06,,
1993-01-08,37.0,,
1993-01-11,36.84,,
1993-01-12,37.49,,
1993-01-13,37.44,,
1993-01-14,37.38,,
1993-01-15,38.04,,
1993-01-18,36.45,,
1993-01-19,36.89,,
1993-01-20,36.51,,
1993-01-21,36.23,,
1993-01-22,36.23,,
1993-01-25,36.29,,
1993-01-26,36.34,,
1993-01-27,36.34,,
1993-01-28,36.18,,
1993-01-29,37.66,,
1993-02-01,37.17,,
1993-02-02,37.17,,
1993-02-03,37.0,,
1993-02-04,37.33,,
1993-02-05,37.93,,
1993-02-08,38.37,,
1993-02-09,37.99,,
1993-02-10,38.21,,
1993-02-11,37.99,,
1993-02-12,37.38,,
1993-02-16,36.73,,
1993-02-17,36.12,,
1993-02-18,36.01,,
1993-02-19,36.45,,
1993-02-22,36.12,,
1993-02-23,35.57,,
1993-02-24,36.01,,
1993-02-25,36.07,,
1993-02-26,36.34,,
1993-03-01,36.4,,
1993-03-02,36.84,,
1993-03-03,37.0,,
1993-03-04,36.45,,
1993-03-05,36.34,,
1993-03-08,37.27,,
1993-03-09,37.17,,
1993-03-10,37.38,,
1993-03-11,37.06,,
1993-03-12,36.34,,
1993-03-15,36.51,,
1993-03-16,36.62,,
1993-03-17,36.34,,
1993-03-18,36.34,,
1993-03-19,36.23,,
1993-03-22,35.85,,
1993-03-23,36.51,,
1993-03-24,36.45,,
1993-03-25,36.34,,
1993-03-26,36.51,,
1993-03-29,36.51,,
1993-03-30,36.73,,
1993-03-31,36.62,,
1993-04-01,36.51,,
1993-04-02,35.68,,
1993-04-05,35.52,,
1993-04-06,35.02,,
1993-04-07,34.91,,
1993-04-08,34.97,,
1993-04-12,35.13,,
1993-04-13,34.86,,
1993-04-14,35.68,,
1993-04-15,35.52,,
1993-04-16,35.19,,
1993-04-19,34.97,,
1993-04-20,34.86,,
1993-04-21,34.8,,
1993-04-22,34.8,,
1993-04-23,34.69,,
1993-04-26,34.15,,
1993-04-27,32.94,,
1993-04-28,33.32,,
1993-04-29,33.1,,
1993-04-30,33.87,,
1993-05-03,33.71,,
1993-05-04,33.54,,
1993-05-05,33.38,,
1993-05-06,32.88,,
1993-05-07,32.66,,
1993-05-10,32.44,,
1993-05-11,32.28,,
1993-05-12,33.6,,
1993-05-13,32.99,,
1993-05-14,33.1,,
1993-05-17,31.73,,
1993-05-18,32.0,,
1993-05-19,32.17,,
1993-05-20,32.33,,
1993-05-21,32.28,,
1993-05-24,32.22,,
1993-05-25,32.44,,
1993-05-26,33.27,,
1993-05-27,33.49,,
1993-05-28,33.27,,
1993-06-01,33.43,,
1993-06-02,33.54,,
1993-06-03,33.6,,
1993-06-04,33.21,,
1993-06-07,32.77,,
1993-06-08,32.28,,
1993-06-09,32.61,,
1993-06-10,32.61,,
1993-06-11,33.16,,
1993-06-14,33.38,,
1993-06-15,33.71,,
1993-06-16,33.76,,
1993-06-17,34.09,,
1993-06-18,33.93,,
1993-06-21,33.93,,
1993-06-22,34.15,,
1993-06-23,34.31,,
1993-06-24,34.69,,
1993-06-25,35.08,,
1993-06-28,35.52,,
1993-06-29,35.35,,
1993-06-30,35.08,,
1993-07-01,34.15,,
1993-07-02,34.15,,
1993-07-06,33.49,,
1993-07-07,33.49,,
1993-07-08,33.54,,
1993-07-09,34.04,,
1993-07-12,33.16,,
1993-07-13,33.32,,
1993-07-14,33.65,,
1993-07-15,33.6,,
1993-07-16,32.72,,
1993-07-19,32.28,,
1993-07-20,32.28,,
1993-07-21,32.17,,
1993-07-22,31.79,,
1993-07-23,32.11,,
1993-07-26,32.06,,
1993-07-27,31.62,,
1993-07-28,31.79,,
1993-07-29,32.33,,
1993-07-30,32.06,,
1993-08-02,32.17,,
1993-08-03,31.73,,
1993-08-04,31.62,,
1993-08-05,31.79,,
1993-08-06,32.22,,
1993-08-09,32.83,,
1993-08-10,32.61,,
1993-08-11,32.61,,
1993-08-12,32.5,,
1993-08-13,32.39,,
1993-08-16,32.28,,
1993-08-17,32.0,,
1993-08-18,32.66,,
1993-08-19,32.94,,
1993-08-20,32.5,,
1993-08-23,32.0,,
1993-08-24,32.55,,
1993-08-25,32.77,,
1993-08-26,32.83,,
1993-08-27,32.5,,
1993-08-30,32.39,,
1993-08-31,32.28,,
1993-09-01,32.22,,
1993-09-02,31.73,,
1993-09-03,32.06,,
1993-09-07,32.06,,
1993-09-08,32.06,,
1993-09-09,31.68,,
