CMI,dcf,Deviation
4.14,,
4.13,,
4.11,,
4.16,,
4.19,,
4.09,,
4.09,,
4.05,,
4.02,,
3.97,,
3.88,,
3.91,,
4.02,,
4.06,,
4.17,,
4.23,,
4.16,,
4.17,,
4.17,,
4.17,,
4.08,,
3.95,,
3.94,,
3.92,,
3.92,,
3.91,,
3.94,,
3.91,,
3.88,,
3.81,,
3.81,,
3.81,,
3.77,,
3.72,,
3.73,,
3.8,,
3.91,,
4.06,,
4.06,,
4.13,,
4.17,,
4.17,,
4.13,,
4.13,,
4.0,,
4.0,,
3.91,,
3.88,,
3.78,,
3.78,,
3.83,,
3.88,,
3.84,,
3.88,,
3.94,,
4.03,,
3.94,,
3.94,,
3.84,,
3.78,,
3.83,,
3.67,,
3.72,,
3.75,,
3.78,,
3.75,,
3.77,,
3.73,,
3.75,,
3.64,,
3.53,,
3.5,,
3.58,,
3.52,,
3.34,,
3.34,,
3.19,,
3.13,,
3.22,,
3.22,,
3.17,,
3.25,,
3.38,,
3.34,,
3.31,,
3.33,,
3.27,,
3.25,,
3.23,,
3.23,,
3.28,,
3.31,,
3.27,,
3.36,,
3.34,,
3.38,,
3.38,,
3.16,,
3.47,,
3.47,,
3.33,,
3.28,,
3.41,,
3.28,,
3.22,,
3.19,,
3.03,,
2.89,,
2.94,,
3.0,,
2.98,,
3.03,,
2.95,,
2.92,,
2.8,,
2.56,,
2.52,,
2.5,,
2.48,,
2.38,,
2.38,,
2.25,,
2.25,,
2.31,,
2.3,,
2.28,,
2.3,,
2.38,,
2.72,,
2.84,,
2.73,,
2.72,,
2.81,,
2.8,,
2.81,,
2.7,,
2.5,,
2.44,,
2.34,,
2.42,,
2.38,,
2.31,,
2.23,,
2.16,,
2.23,,
2.3,,
2.23,,
2.13,,
2.03,,
2.0,,
2.0,,
1.97,,
1.97,,
1.92,,
1.84,,
1.7,,
1.75,,
1.75,,
1.69,,
1.75,,
1.89,,
1.98,,
1.97,,
1.75,,
1.7,,
1.61,,
1.47,,
1.55,,
1.66,,
1.66,,
1.56,,
1.66,,
1.63,,
1.66,,
1.63,,
1.63,,
1.61,,
1.66,,
1.69,,
1.75,,
1.72,,
1.91,,
2.03,,
2.06,,
2.06,,
2.08,,
2.06,,
2.06,,
1.97,,
2.06,,
2.02,,
2.06,,
2.06,,
2.03,,
2.0,,
2.13,,
2.16,,
2.38,,
2.27,,
2.19,,
2.34,,
2.19,,
2.2,,
2.23,,
2.25,,
2.25,,
2.23,,
2.23,,
2.22,,
2.22,,
2.31,,
2.28,,
2.31,,
2.36,,
2.3,,
2.3,,
2.27,,
2.28,,
2.16,,
2.19,,
2.08,,
2.09,,
2.14,,
2.13,,
2.08,,
2.14,,
2.11,,
2.11,,
2.17,,
2.23,,
2.22,,
2.2,,
2.19,,
2.36,,
2.55,,
2.55,,
2.52,,
2.52,,
2.61,,
2.5,,
2.53,,
2.56,,
2.63,,
2.7,,
2.5,,
2.47,,
2.45,,
2.44,,
2.44,,
2.47,,
2.5,,
2.61,,
2.61,,
2.69,,
2.8,,
2.75,,
2.73,,
2.86,,
2.84,,
2.8,,
2.77,,
2.72,,
2.73,,
2.78,,
2.77,,
2.88,,
2.88,,
2.81,,
2.78,,
2.75,,
2.86,,
2.94,,
2.94,,
2.97,,
2.97,,
2.94,,
2.95,,
2.89,,
3.13,,
3.13,,
3.16,,
3.14,,
3.11,,
3.13,,
3.02,,
3.02,,
3.0,,
2.97,,
2.84,,
2.84,,
2.73,,
2.59,,
2.63,,
2.67,,
2.63,,
2.59,,
2.44,,
2.42,,
2.33,,
2.33,,
2.44,,
2.55,,
2.63,,
2.5,,
2.56,,
2.72,,
2.7,,
2.83,,
2.81,,
2.78,,
2.8,,
2.8,,
2.77,,
2.8,,
2.83,,
2.78,,
2.75,,
2.75,,
2.72,,
2.73,,
2.73,,
2.72,,
2.66,,
2.67,,
2.59,,
2.55,,
2.45,,
2.38,,
2.42,,
2.55,,
2.47,,
2.47,,
2.47,,
2.45,,
2.41,,
2.41,,
2.42,,
2.42,,
2.41,,
2.42,,
2.44,,
2.39,,
2.38,,
2.41,,
2.48,,
2.48,,
2.53,,
2.56,,
2.61,,
2.64,,
2.66,,
2.63,,
2.59,,
2.63,,
2.59,,
2.59,,
2.59,,
2.55,,
2.38,,
2.39,,
2.39,,
2.36,,
2.34,,
2.36,,
2.5,,
2.55,,
2.55,,
2.55,,
2.38,,
2.38,,
2.39,,
2.42,,
2.31,,
2.36,,
2.42,,
2.44,,
2.38,,
2.39,,
2.38,,
2.45,,
2.39,,
2.44,,
2.39,,
2.38,,
2.41,,
2.39,,
2.45,,
2.42,,
2.38,,
2.38,,
2.38,,
2.41,,
2.25,,
2.16,,
2.11,,
2.09,,
2.13,,
2.13,,
2.28,,
2.27,,
2.22,,
2.22,,
2.2,,
2.17,,
2.19,,
2.19,,
2.22,,
2.2,,
2.2,,
2.16,,
2.16,,
2.13,,
2.19,,
2.22,,
2.17,,
2.23,,
2.2,,
2.19,,
2.19,,
2.14,,
2.17,,
2.08,,
2.11,,
2.13,,
2.11,,
2.19,,
2.2,,
2.2,,
2.22,,
2.2,,
2.2,,
2.23,,
2.23,,
2.31,,
2.36,,
2.44,,
2.48,,
2.56,,
2.66,,
2.7,,
2.69,,
2.69,,
2.7,,
2.69,,
2.73,,
2.66,,
2.69,,
2.56,,
2.59,,
2.66,,
2.75,,
2.88,,
2.94,,
3.03,,
2.91,,
3.0,,
3.02,,
3.02,,
3.02,,
2.94,,
2.92,,
2.91,,
2.94,,
2.98,,
3.02,,
3.11,,
3.14,,
3.13,,
2.94,,
3.31,,
3.39,,
3.47,,
3.59,,
3.75,,
3.73,,
3.84,,
4.0,,
4.13,,
4.14,,
3.98,,
4.11,,
4.08,,
4.17,,
4.09,,
3.88,,
3.86,,
3.75,,
3.89,,
3.83,,
3.88,,
3.86,,
3.8,,
3.75,,
3.77,,
3.88,,
3.94,,
3.88,,
3.92,,
3.98,,
4.0,,
4.0,,
4.05,,
3.97,,
3.95,,
3.95,,
3.91,,
3.98,,
3.88,,
3.89,,
3.94,,
3.98,,
3.98,,
4.0,,
3.94,,
3.86,,
3.88,,
3.81,,
3.88,,
4.03,,
4.13,,
4.03,,
4.06,,
4.13,,
4.48,,
4.75,,
4.72,,
4.75,,
4.72,,
4.69,,
4.53,,
4.52,,
4.52,,
4.45,,
4.39,,
4.38,,
4.36,,
4.33,,
4.34,,
4.36,,
4.5,,
4.52,,
4.52,,
4.64,,
4.39,,
4.38,,
4.53,,
4.5,,
4.5,,
4.55,,
4.66,,
4.63,,
4.67,,
4.78,,
4.84,,
4.86,,
4.92,,
4.88,,
4.88,,
4.88,,
4.84,,
4.86,,
4.92,,
4.81,,
4.86,,
4.89,,
4.81,,
4.83,,
4.94,,
5.05,,
5.06,,
5.03,,
5.0,,
4.92,,
4.81,,
4.77,,
4.78,,
4.75,,
4.81,,
4.78,,
4.98,,
4.94,,
4.98,,
4.95,,
5.09,,
5.19,,
5.13,,
5.13,,
5.17,,
5.17,,
5.17,,
5.09,,
5.03,,
4.97,,
4.98,,
5.03,,
5.03,,
4.94,,
4.88,,
4.78,,
4.88,,
4.88,,
4.81,,
4.78,,
4.91,,
5.11,,
5.13,,
5.09,,
5.09,,
5.2,,
5.27,,
5.27,,
5.23,,
5.23,,
5.22,,
5.2,,
5.14,,
5.25,,
5.44,,
5.78,,
5.81,,
5.77,,
5.63,,
5.75,,
5.59,,
5.66,,
5.69,,
5.56,,
5.58,,
5.47,,
5.28,,
5.36,,
5.28,,
5.2,,
5.2,,
5.22,,
5.16,,
5.05,,
5.09,,
5.06,,
5.08,,
5.06,,
5.06,,
5.23,,
5.25,,
5.19,,
5.17,,
5.17,,
5.16,,
5.09,,
5.17,,
5.08,,
5.02,,
5.09,,
5.09,,
5.16,,
5.09,,
5.16,,
5.22,,
5.25,,
5.3,,
5.34,,
5.34,,
5.38,,
5.41,,
5.53,,
5.48,,
5.42,,
5.48,,
5.5,,
5.53,,
5.67,,
5.75,,
5.72,,
5.69,,
5.78,,
5.72,,
5.67,,
5.56,,
5.52,,
5.56,,
5.5,,
5.53,,
5.56,,
5.64,,
5.78,,
5.86,,
5.89,,
6.08,,
6.06,,
6.03,,
5.94,,
5.98,,
5.98,,
5.94,,
6.19,,
6.16,,
5.97,,
6.03,,
5.98,,
5.94,,
5.91,,
6.11,,
6.13,,
6.09,,
6.17,,
6.2,,
6.11,,
5.95,,
5.92,,
5.72,,
5.75,,
5.78,,
5.84,,
5.94,,
6.13,,
6.08,,
6.02,,
6.14,,
6.05,,
6.06,,
6.2,,
6.19,,
6.06,,
6.05,,
6.02,,
5.92,,
5.84,,
5.88,,
5.89,,
5.92,,
5.95,,
5.88,,
6.0,,
6.05,,
6.06,,
6.0,,
5.94,,
6.02,,
6.19,,
6.42,,
6.47,,
6.25,,
6.13,,
6.2,,
6.2,,
6.2,,
6.14,,
6.23,,
6.22,,
6.25,,
6.06,,
6.03,,
6.06,,
6.03,,
5.94,,
5.94,,
6.0,,
6.13,,
6.3,,
6.25,,
6.38,,
6.48,,
6.44,,
6.55,,
6.7,,
6.63,,
6.59,,
6.45,,
6.55,,
6.56,,
6.56,,
6.5,,
6.73,,
6.73,,
6.88,,
7.0,,
7.03,,
7.0,,
6.98,,
6.88,,
6.94,,
6.95,,
7.0,,
6.95,,
6.97,,
6.98,,
6.97,,
6.83,,
6.7,,
6.58,,
6.55,,
6.5,,
6.59,,
6.63,,
6.59,,
6.63,,
6.55,,
6.69,,
6.91,,
6.89,,
6.8,,
6.83,,
6.88,,
6.86,,
6.8,,
6.95,,
6.95,,
7.05,,
7.06,,
7.11,,
7.3,,
7.25,,
7.2,,
7.19,,
7.27,,
7.25,,
7.28,,
7.13,,
7.06,,
6.94,,
6.91,,
6.83,,
6.8,,
6.81,,
6.72,,
6.66,,
6.53,,
6.25,,
6.31,,
6.25,,
6.0,,
6.05,,
6.08,,
6.11,,
6.03,,
5.97,,
6.02,,
6.14,,
6.28,,
6.2,,
6.08,,
6.16,,
6.22,,
6.17,,
6.09,,
6.05,,
6.03,,
6.09,,
6.13,,
6.09,,
6.11,,
6.06,,
5.67,,
5.58,,
5.59,,
5.5,,
5.52,,
5.42,,
5.45,,
5.67,,
5.67,,
5.59,,
5.52,,
5.5,,
