date,MAS,dcf,Deviation
1980-03-17,2.4,,
1980-03-18,2.47,,
1980-03-19,2.46,,
1980-03-20,2.46,,
1980-03-21,2.4,,
1980-03-24,2.31,,
1980-03-25,2.38,,
1980-03-26,2.31,,
1980-03-27,2.17,,
1980-03-28,2.22,,
1980-03-31,2.24,,
1980-04-01,2.28,,
1980-04-02,2.31,,
1980-04-03,2.31,,
1980-04-07,2.31,,
1980-04-08,2.35,,
1980-04-09,2.35,,
1980-04-10,2.4,,
1980-04-11,2.47,,
1980-04-14,2.46,,
1980-04-15,2.44,,
1980-04-16,2.44,,
1980-04-17,2.38,,
1980-04-18,2.38,,
1980-04-21,2.38,,
1980-04-22,2.35,,
1980-04-23,2.35,,
1980-04-24,2.4,,
1980-04-25,2.39,,
1980-04-28,2.4,,
1980-04-29,2.44,,
1980-04-30,2.39,,
1980-05-01,2.4,,
1980-05-02,2.38,,
1980-05-05,2.44,,
1980-05-06,2.57,,
1980-05-07,2.64,,
1980-05-08,2.68,,
1980-05-09,2.75,,
1980-05-12,2.72,,
1980-05-13,2.72,,
1980-05-14,2.58,,
1980-05-15,2.58,,
1980-05-16,2.61,,
1980-05-19,2.64,,
1980-05-20,2.69,,
1980-05-21,2.76,,
1980-05-22,2.79,,
1980-05-23,2.81,,
1980-05-27,2.77,,
1980-05-28,2.83,,
1980-05-29,2.84,,
1980-05-30,2.9,,
1980-06-02,2.88,,
1980-06-03,2.88,,
1980-06-04,2.97,,
1980-06-05,3.12,,
1980-06-06,3.03,,
1980-06-09,3.05,,
1980-06-10,3.02,,
1980-06-11,3.03,,
1980-06-12,3.05,,
1980-06-13,2.99,,
1980-06-16,2.95,,
1980-06-17,2.91,,
1980-06-18,2.9,,
1980-06-19,2.91,,
1980-06-20,2.86,,
1980-06-23,2.88,,
1980-06-24,2.94,,
1980-06-25,2.94,,
1980-06-26,2.98,,
1980-06-27,2.98,,
1980-06-30,2.97,,
1980-07-01,3.06,,
1980-07-02,3.06,,
1980-07-03,3.05,,
1980-07-07,3.06,,
1980-07-08,3.06,,
1980-07-09,3.08,,
1980-07-10,3.08,,
1980-07-11,3.06,,
1980-07-14,3.1,,
1980-07-15,3.13,,
1980-07-16,3.16,,
1980-07-17,3.19,,
1980-07-18,3.24,,
1980-07-21,3.24,,
1980-07-22,3.38,,
1980-07-23,3.36,,
1980-07-24,3.34,,
1980-07-25,3.3,,
1980-07-28,3.31,,
1980-07-29,3.34,,
1980-07-30,3.43,,
1980-07-31,3.53,,
1980-08-01,3.56,,
1980-08-04,3.57,,
1980-08-05,3.47,,
1980-08-06,3.45,,
1980-08-07,3.38,,
1980-08-08,3.41,,
1980-08-11,3.42,,
1980-08-12,3.41,,
1980-08-13,3.34,,
1980-08-14,3.31,,
1980-08-15,3.3,,
1980-08-18,3.28,,
1980-08-19,3.19,,
1980-08-20,3.17,,
1980-08-21,3.2,,
1980-08-22,3.19,,
1980-08-25,3.14,,
1980-08-26,3.03,,
1980-08-27,3.08,,
1980-08-28,3.06,,
1980-08-29,3.12,,
1980-09-02,3.1,,
1980-09-03,3.13,,
1980-09-04,3.23,,
1980-09-05,3.27,,
1980-09-08,3.24,,
1980-09-09,3.28,,
1980-09-10,3.3,,
1980-09-11,3.39,,
1980-09-12,3.49,,
1980-09-15,3.49,,
1980-09-16,3.49,,
