date,KEYS,dcf,Deviation
2014-10-20,28.25,,
2014-10-21,28.31,,
2014-10-22,28.75,,
2014-10-23,29.25,,
2014-10-24,29.75,,
2014-10-27,30.1,,
2014-10-28,30.65,,
2014-10-29,30.0,,
2014-10-30,30.25,,
2014-10-31,31.5,,
2014-11-03,30.61,,
2014-11-04,30.16,,
2014-11-05,30.18,,
2014-11-06,30.05,,
2014-11-07,29.76,,
2014-11-10,29.78,,
2014-11-11,30.04,,
2014-11-12,30.83,,
2014-11-13,30.41,,
2014-11-14,30.7,,
2014-11-17,31.05,,
2014-11-18,31.0,,
2014-11-19,30.97,,
2014-11-20,31.41,,
2014-11-21,32.3,,
2014-11-24,33.0,,
2014-11-25,32.85,,
2014-11-26,34.2,,
2014-11-28,35.2,,
2014-12-01,34.9,,
2014-12-02,34.78,,
2014-12-03,34.31,,
2014-12-04,34.14,,
2014-12-05,34.1,,
2014-12-08,34.19,,
2014-12-09,33.75,,
2014-12-10,33.47,,
2014-12-11,33.49,,
2014-12-12,32.86,,
2014-12-15,32.88,,
2014-12-16,32.89,,
2014-12-17,33.83,,
2014-12-18,34.11,,
2014-12-19,33.98,,
2014-12-22,33.94,,
2014-12-23,33.63,,
2014-12-24,33.8,,
2014-12-26,33.73,,
2014-12-29,33.91,,
2014-12-30,33.88,,
2014-12-31,33.77,,
2015-01-02,33.42,,
2015-01-05,33.54,,
2015-01-06,33.61,,
2015-01-07,33.88,,
2015-01-08,34.12,,
2015-01-09,33.96,,
2015-01-12,34.46,,
2015-01-13,34.69,,
2015-01-14,34.93,,
2015-01-15,34.47,,
2015-01-16,34.96,,
2015-01-20,34.92,,
2015-01-21,35.74,,
2015-01-22,35.78,,
2015-01-23,34.87,,
2015-01-26,34.33,,
2015-01-27,33.73,,
2015-01-28,33.34,,
2015-01-29,33.68,,
2015-01-30,33.39,,
2015-02-02,34.33,39.26764705882352,-0.12574339000823898
2015-02-03,34.05,39.42764705882353,-0.13639279693257955
2015-02-04,34.21,39.82764705882353,-0.1410489314251111
2015-02-05,34.61,40.29764705882353,-0.14114092196303973
2015-02-06,35.08,40.18764705882353,-0.1270949516239992
2015-02-09,34.97,40.97764705882353,-0.14660790674973445
2015-02-10,35.76,40.78764705882353,-0.12326396400294215
2015-02-11,35.57,41.43764705882353,-0.14160183975924134
2015-02-12,36.22,41.70764705882353,-0.1315741223925646
2015-02-13,36.49,41.73764705882353,-0.12572934577331796
2015-02-17,36.52,41.71764705882353,-0.1245910885504794
2015-02-18,36.5,42.52764705882353,-0.14173478844212073
2015-02-19,37.31,42.51764705882352,-0.12248201438848894
2015-02-20,37.3,41.90764705882353,-0.10994764397905765
2015-02-23,36.69,42.807647058823534,-0.14291014524617662
2015-02-24,37.59,42.51764705882352,-0.11589651355838382
2015-02-25,37.3,42.65764705882353,-0.12559640365150726
2015-02-26,37.44,42.75764705882353,-0.1243671582654634
2015-02-27,37.54,43.097647058823526,-0.12895476755930435
2015-03-02,37.88,42.74764705882353,-0.11386935641452567
2015-03-03,37.53,42.89764705882353,-0.12512684090722104
2015-03-04,37.68,42.557647058823534,-0.11461270525792011
2015-03-05,37.34,42.347647058823526,-0.11825089247267007
2015-03-06,37.13,42.60764705882353,-0.12856018665525382
2015-03-09,37.39,41.98764705882353,-0.10949999299513868
2015-03-10,36.77,42.45764705882353,-0.1339604865748566
2015-03-11,37.24,42.54764705882353,-0.12474595954708212
2015-03-12,37.33,42.46764705882353,-0.12097790705727551
2015-03-13,37.25,43.15764705882353,-0.13688529058990295
2015-03-16,37.94,43.40764705882353,-0.12596045695391167
2015-03-17,38.19,43.93764705882353,-0.13081371997750824
2015-03-18,38.72,43.93764705882353,-0.11875117144616709
2015-03-19,38.72,43.95764705882353,-0.11915212504014572
2015-03-20,38.74,44.10764705882353,-0.1216942506968246
2015-03-23,38.89,43.89764705882353,-0.11407552327606996
2015-03-24,38.68,42.47764705882353,-0.08940342325375283
2015-03-25,37.26,41.93764705882353,-0.11153813785171263
2015-03-26,36.72,41.48764705882353,-0.11491726807412561
2015-03-27,36.27,41.33764705882353,-0.12259157013973865
2015-03-30,36.12,42.36764705882353,-0.14746268656716421
2015-03-31,37.15,41.82764705882353,-0.11183146525658516
2015-04-01,36.61,42.00764705882353,-0.12849201125845433
2015-04-02,36.79,41.94764705882353,-0.12295438291427685
2015-04-06,36.73,41.597647058823526,-0.11701736523559025
2015-04-07,36.38,41.70764705882353,-0.1277378954346079
2015-04-08,36.49,42.39764705882353,-0.1393390310228092
2015-04-09,37.18,42.26764705882352,-0.12036740658270106
2015-04-10,37.05,41.807647058823534,-0.113798488877633
2015-04-13,36.59,41.36764705882353,-0.11549235691432624
2015-04-14,36.15,41.40764705882353,-0.12697285241430256
2015-04-15,36.19,41.28764705882353,-0.12346664007180619
2015-04-16,36.07,40.57764705882353,-0.1110869502188977
2015-04-17,35.36,41.347647058823526,-0.14481228037728866
2015-04-20,36.13,41.42764705882353,-0.1278770925923296
2015-04-21,36.21,41.22764705882353,-0.12170587983506209
2015-04-22,36.01,40.65764705882353,-0.1143117567059232
2015-04-23,35.44,40.20764705882353,-0.11857562945298683
2015-04-24,34.99,39.557647058823534,-0.11546811801094459
2015-04-27,34.34,39.15764705882353,-0.12303208748948435
2015-04-28,33.94,38.99764705882353,-0.12969108241824556
2015-04-29,33.78,38.67764705882353,-0.12662732692541678
2015-04-30,33.46,38.838070175438595,-0.13847418656861366
2015-05-01,33.61,39.70807017543859,-0.15357256468259572
2015-05-04,34.48,39.228070175438596,-0.12103756708407876
2015-05-05,34.0,38.878070175438594,-0.12547099569053044
2015-05-06,33.65,39.13807017543859,-0.14022332094653656
2015-05-07,33.91,39.808070175438594,-0.14816267529285254
2015-05-08,34.58,40.2480701754386,-0.14082837141586835
2015-05-11,35.02,39.988070175438594,-0.12423880806556331
2015-05-12,34.76,40.478070175438596,-0.14126340882002386
2015-05-13,35.25,40.418070175438594,-0.12786533728617122
2015-05-14,35.19,40.558070175438594,-0.132355167595953
2015-05-15,35.33,41.448070175438595,-0.14760808282611093
2015-05-18,36.22,40.2180701754386,-0.09940979659138993
2015-05-19,34.99,37.6080701754386,-0.06961458440237722
2015-05-20,32.38,38.2580701754386,-0.15364262098124004
2015-05-21,33.03,38.308070175438594,-0.13777958929454648
2015-05-22,33.08,37.838070175438595,-0.12574822535550845
2015-05-26,32.61,38.198070175438595,-0.1462919500847384
2015-05-27,32.97,38.128070175438594,-0.13528274973542542
2015-05-28,32.9,38.088070175438595,-0.13621247155714822
2015-05-29,32.86,38.0680701754386,-0.13680940881523407
2015-06-01,32.84,38.198070175438595,-0.1402707034891998
2015-06-02,32.97,38.448070175438595,-0.14247971745895582
2015-06-03,33.22,38.1080701754386,-0.1282686358279317
2015-06-04,32.88,38.118070175438596,-0.13741698232177946
2015-06-05,32.89,37.9980701754386,-0.13442972634806016
2015-06-08,32.77,38.088070175438595,-0.13962561376680072
2015-06-09,32.86,38.338070175438595,-0.1428885217844934
2015-06-10,33.11,38.378070175438594,-0.13726771959498063
2015-06-11,33.15,38.2580701754386,-0.13351614841038018
2015-06-12,33.03,37.84807017543859,-0.12730028646388603
2015-06-15,32.62,37.84807017543859,-0.13813307128222718
2015-06-16,32.62,38.238070175438594,-0.1469234757314516
2015-06-17,33.01,38.628070175438594,-0.14544009446816242
2015-06-18,33.4,38.518070175438595,-0.1328745223249056
2015-06-19,33.29,38.728070175438596,-0.1404167610419026
2015-06-22,33.5,38.118070175438596,-0.12115173077188601
2015-06-23,32.89,37.6880701754386,-0.12731005204308687
2015-06-24,32.46,37.38807017543859,-0.13180862644994173
2015-06-25,32.16,37.478070175438596,-0.1418981860737274
2015-06-26,32.25,36.628070175438594,-0.11952773254143112
2015-06-29,31.4,36.418070175438594,-0.13779066686578378
2015-06-30,31.19,36.478070175438596,-0.14496573283635916
2015-07-01,31.25,36.698070175438595,-0.148456585030046
2015-07-02,31.47,36.478070175438596,-0.13728988818083443
2015-07-06,31.25,36.4580701754386,-0.1428509559166744
2015-07-07,31.23,35.6080701754386,-0.12295162736615983
2015-07-08,30.38,35.548070175438596,-0.14538258054327224
2015-07-09,30.32,35.5780701754386,-0.14778963978401838
2015-07-10,30.35,35.9680701754386,-0.15619604132320086
2015-07-13,30.74,36.158070175438596,-0.1498440085200945
2015-07-14,30.93,35.738070175438594,-0.13453636841149297
2015-07-15,30.51,36.018070175438595,-0.15292518862364401
2015-07-16,30.79,35.7880701754386,-0.13965743754657056
2015-07-17,30.56,35.988070175438594,-0.15082970965037146
2015-07-20,30.76,35.6480701754386,-0.1371201905568078
2015-07-21,30.42,35.9680701754386,-0.15424987074305674
2015-07-22,30.74,35.52807017543859,-0.13476865339983202
2015-07-23,30.3,35.2880701754386,-0.14135287508327454
2015-07-24,30.06,34.908070175438596,-0.13888107108394987
2015-07-27,29.68,35.2880701754386,-0.15892255222678509
2015-07-28,30.06,35.7180701754386,-0.1584091790975133
2015-07-29,30.49,35.868070175438596,-0.1499403271247457
2015-07-30,30.64,35.768070175438595,-0.14337005464052022
2015-07-31,30.54,36.33795321637427,-0.15955640599376542
2015-08-03,30.49,36.25795321637427,-0.15908104856204164
2015-08-04,30.41,36.197953216374266,-0.15989725114501963
2015-08-05,30.35,35.56795321637427,-0.14670378091849556
2015-08-06,29.72,35.70795321637427,-0.1676924235923002
2015-08-07,29.86,36.48795321637427,-0.18164771197415164
2015-08-10,30.64,35.92795321637427,-0.14718214490338044
2015-08-11,30.08,35.72795321637427,-0.15808219357457587
2015-08-12,29.88,35.75795321637427,-0.16438170218542147
2015-08-13,29.91,36.21795321637427,-0.17416647425350418
2015-08-14,30.37,36.22795321637427,-0.16169705148362057
2015-08-17,30.38,35.84795321637427,-0.15253181076672118
2015-08-18,30.0,35.38795321637427,-0.1522538809585976
2015-08-19,29.54,38.617953216374275,-0.23507080153914428
2015-08-20,32.77,38.197953216374266,-0.14210062998997208
2015-08-21,32.35,36.43795321637427,-0.11218943040239826
2015-08-24,30.59,36.197953216374266,-0.15492459429549987
2015-08-25,30.35,36.90795321637427,-0.17768401238421483
2015-08-26,31.06,37.517953216374266,-0.1721296782670908
2015-08-27,31.67,37.767953216374266,-0.16145839784959548
2015-08-28,31.92,37.88795321637427,-0.1575158516030647
2015-08-31,32.04,37.09795321637427,-0.13634049261083747
2015-09-01,31.25,37.68795321637427,-0.17082257503910225
2015-09-02,31.84,38.45795321637427,-0.17208282456271073
2015-09-03,32.61,38.08795321637427,-0.143823775072777
2015-09-04,32.24,38.937953216374275,-0.17201605793592756
2015-09-08,33.09,38.56795321637427,-0.14203380681473565
2015-09-09,32.72,38.81795321637427,-0.1570910548112573
2015-09-10,32.97,38.687953216374275,-0.14779673621902056
2015-09-11,32.84,38.67795321637427,-0.15093749102273524
2015-09-14,32.83,38.797953216374275,-0.15382134163344374
2015-09-15,32.95,39.39795321637426,-0.1636621369887411
2015-09-16,33.55,39.557953216374266,-0.15187725167457322
2015-09-17,33.71,38.67795321637427,-0.12844405671060932
2015-09-18,32.83,38.74795321637427,-0.15272944052883386
2015-09-21,32.9,37.89795321637426,-0.13187923864486795
2015-09-22,32.05,37.627953216374266,-0.14823961282982978
2015-09-23,31.78,37.057953216374266,-0.14242430459009192
2015-09-24,31.21,36.85795321637427,-0.1532356716396598
2015-09-25,31.01,36.07795321637427,-0.14047230412378653
2015-09-28,30.23,36.017953216374266,-0.1606963388953202
2015-09-29,30.17,36.68795321637427,-0.17765922175961635
2015-09-30,30.84,36.27795321637427,-0.14989691353148937
2015-10-01,30.43,37.14795321637427,-0.18084315917069405
2015-10-02,31.3,37.947953216374266,-0.175186081274753
2015-10-05,32.1,37.99795321637427,-0.15521765561395273
2015-10-06,32.15,38.547953216374275,-0.16597387623829984
2015-10-07,32.7,38.96795321637427,-0.1608489206905659
2015-10-08,33.12,38.52795321637427,-0.14036440467011124
2015-10-09,32.68,38.14795321637426,-0.14333542838747249
2015-10-12,32.3,37.84795321637427,-0.1465852904820768
2015-10-13,32.0,38.28795321637427,-0.16422798003433514
