date,V,dcf,Deviation
2008-03-19,14.13,18.279059235356325,-0.22698428742607246
2008-03-20,16.09,17.119059235356325,-0.06011190341762407
2008-03-24,14.93,17.999059235356324,-0.17051220262265931
2008-03-25,15.81,18.179059235356323,-0.13031803267073117
2008-03-26,15.99,17.919059235356322,-0.10765404645518839
2008-03-27,15.73,17.879059235356323,-0.12019979390786395
2008-03-28,15.69,17.779059235356325,-0.1175011122749351
2008-03-31,15.59,21.752479675571443,-0.2833001003785355
2008-04-01,15.4,21.93247967557144,-0.2978450121555277
2008-04-02,15.58,22.732479675571437,-0.31463702058238574
2008-04-03,16.38,22.472479675571442,-0.27110847416603656
2008-04-04,16.12,22.612479675571443,-0.2871193150296273
2008-04-07,16.26,23.372479675571437,-0.30431001649368394
2008-04-08,17.02,22.802479675571444,-0.2535899497705191
2008-04-09,16.45,22.882479675571442,-0.281109380048463
2008-04-10,16.53,22.882479675571442,-0.2776132554529539
2008-04-11,16.53,22.772479675571443,-0.2741238444168156
2008-04-14,16.42,22.442479675571445,-0.26835179368021844
2008-04-15,16.09,22.89247967557144,-0.29714909751914576
2008-04-16,16.54,23.112479675571443,-0.2843693003878842
2008-04-17,16.76,23.60247967557144,-0.2899051188529739
2008-04-18,17.25,24.092479675571436,-0.2840089425294552
2008-04-21,17.74,23.92247967557144,-0.2584380783019209
2008-04-22,17.57,23.872479675571437,-0.2640060756663132
2008-04-23,17.52,24.43247967557144,-0.28292174054207075
2008-04-24,18.08,25.132479675571442,-0.280612170649695
2008-04-25,18.78,25.262479675571438,-0.2566050426886609
2008-04-28,18.91,26.57247967557144,-0.28836148410401063
2008-04-29,20.22,27.21247967557144,-0.2569585630907635
2008-04-30,20.86,27.702479675571443,-0.24699881583543826
2008-05-01,21.35,27.04247967557144,-0.21050139424579783
2008-05-02,20.69,27.612479675571443,-0.25070112343788187
2008-05-05,21.26,28.232479675571437,-0.2469666056858787
2008-05-06,21.88,28.482479675571437,-0.23180845736665912
2008-05-07,22.13,28.18247967557144,-0.21476036691042932
2008-05-08,21.83,27.07247967557144,-0.19364608408227701
2008-05-09,20.72,26.83247967557144,-0.227801520749359
2008-05-12,20.48,26.942479675571445,-0.23986209708198936
2008-05-13,20.59,26.912479675571443,-0.23492742964559976
2008-05-14,20.56,26.912479675571443,-0.23604215412887475
2008-05-15,20.56,26.942479675571445,-0.23689280839871596
2008-05-16,20.59,27.18247967557144,-0.24252679498905394
2008-05-19,20.83,27.03247967557144,-0.22944545783480097
2008-05-20,20.68,26.562479675571442,-0.22145822782431523
2008-05-21,20.21,25.68247967557144,-0.2130822157634853
2008-05-22,19.33,25.442479675571445,-0.24024701025664308
2008-05-23,19.09,26.03247967557144,-0.26668530090455345
2008-05-27,19.68,26.83247967557144,-0.26656051777738343
2008-05-28,20.48,27.662479675571443,-0.25964699332121854
2008-05-29,21.31,27.942479675571445,-0.2373618860093456
2008-05-30,21.59,27.872479675571437,-0.2254008164575919
2008-06-02,21.52,28.242479675571442,-0.23802724664385988
2008-06-03,21.89,27.722479675571442,-0.21038809456539775
2008-06-04,21.37,28.162479675571436,-0.24118897745582168
2008-06-05,21.81,27.262479675571438,-0.199999403592665
2008-06-06,20.91,26.89247967557144,-0.22245920598411006
2008-06-09,20.54,26.43247967557144,-0.2229257242564796
2008-06-10,20.08,25.78247967557144,-0.2211765410979638
2008-06-11,19.43,26.242479675571442,-0.2595974069444753
2008-06-12,19.89,26.732479675571437,-0.25596127851260286
2008-06-13,20.38,27.17247967557144,-0.24997643780291445
2008-06-16,20.82,27.522479675571443,-0.24352746389782853
2008-06-17,21.17,27.32247967557144,-0.22518013550110771
2008-06-18,20.97,27.42247967557144,-0.23529891358874655
2008-06-19,21.07,27.242479675571442,-0.22657554485050624
2008-06-20,20.89,26.612479675571443,-0.21502993127033976
2008-06-23,20.26,27.022479675571443,-0.2502538537085026
2008-06-24,20.67,26.862479675571443,-0.23052524377348682
2008-06-25,20.51,26.132479675571442,-0.21515293402590174
2008-06-26,19.78,27.00247967557144,-0.2674746824124252
2008-06-27,20.65,26.68247967557144,-0.22608392281825085
2008-06-30,20.33,27.50282759113988,-0.26080327804005976
2008-07-01,20.35,27.01282759113988,-0.24665420784476721
2008-07-02,19.86,26.672827591139878,-0.2554220233254516
2008-07-03,19.52,26.06282759113988,-0.2510405890634878
2008-07-07,18.91,26.912827591139884,-0.2973610841907425
2008-07-08,19.76,26.122827591139878,-0.24357346343693542
2008-07-09,18.97,26.46282759113988,-0.2831453881991275
2008-07-10,19.31,25.792827591139883,-0.2513422604882144
2008-07-11,18.64,25.30282759113988,-0.2633234395302506
2008-07-14,18.15,24.26282759113988,-0.2519420940604681
2008-07-15,17.11,25.21282759113988,-0.32137718634887746
2008-07-16,18.06,25.912827591139884,-0.3030478848176694
2008-07-17,18.76,25.50282759113988,-0.2643952936999995
2008-07-18,18.35,25.132827591139883,-0.26987920744465066
2008-07-21,17.98,25.662827591139884,-0.29937572404501467
2008-07-22,18.51,25.46282759113988,-0.2730579534520826
2008-07-23,18.31,24.672827591139878,-0.25788805793077396
2008-07-24,17.52,25.142827591139877,-0.30318099917393926
2008-07-25,17.99,24.792827591139883,-0.27438691960940287
2008-07-28,17.64,26.142827591139877,-0.325245138900797
2008-07-29,18.99,26.76282759113988,-0.29043372060257044
2008-07-30,19.61,25.412827591139884,-0.22834246092170496
2008-07-31,18.26,25.082827591139882,-0.27201190002796727
2008-08-01,17.93,25.282827591139885,-0.2908229929834514
2008-08-04,18.13,25.55282759113988,-0.2904894796736175
