ADSK,dcf,Deviation
1.86,,
1.86,,
1.9,,
1.96,,
1.97,,
2.03,,
1.99,,
2.06,,
1.99,,
2.02,,
2.04,,
2.04,,
2.04,,
2.05,,
2.11,,
2.06,,
2.08,,
2.27,,
2.4,,
2.32,,
2.24,,
2.21,,
2.1,,
2.08,,
2.24,,
2.24,,
2.4,,
2.65,,
2.6,,
2.58,,
2.58,,
2.49,,
2.66,,
2.87,,
2.9,,
2.85,,
2.81,,
2.74,,
2.97,,
2.96,,
2.93,,
2.9,,
3.02,,
2.96,,
2.97,,
2.9,,
2.87,,
2.99,,
3.04,,
3.21,,
3.21,,
3.22,,
3.16,,
3.29,,
3.52,,
3.6,,
3.5,,
3.84,,
4.0,,
3.94,,
3.81,,
3.56,,
3.5,,
3.63,,
3.56,,
3.44,,
3.25,,
3.19,,
3.25,,
3.44,,
3.25,,
3.28,,
3.38,,
3.31,,
3.31,,
3.22,,
3.13,,
3.31,,
3.44,,
3.56,,
3.44,,
3.44,,
3.38,,
3.38,,
3.38,,
3.44,,
3.38,,
3.38,,
3.44,,
3.47,,
3.41,,
3.31,,
3.19,,
3.19,,
3.19,,
3.19,,
3.19,,
3.25,,
3.19,,
3.0,,
3.03,,
3.13,,
3.17,,
3.13,,
3.13,,
3.09,,
2.97,,
3.0,,
2.97,,
2.88,,
3.06,,
3.16,,
3.06,,
3.06,,
3.13,,
3.25,,
3.31,,
3.19,,
3.19,,
3.25,,
3.16,,
3.13,,
2.97,,
2.59,,
2.63,,
2.63,,
2.59,,
2.63,,
2.81,,
2.94,,
2.78,,
2.88,,
2.94,,
2.78,,
2.63,,
2.75,,
2.66,,
2.63,,
2.69,,
2.7,,
2.75,,
2.94,,
3.03,,
3.03,,
2.97,,
3.13,,
3.28,,
3.16,,
3.28,,
3.5,,
3.45,,
3.63,,
3.66,,
3.66,,
3.5,,
3.44,,
3.63,,
3.69,,
3.75,,
3.72,,
3.56,,
3.56,,
3.56,,
3.56,,
3.47,,
3.38,,
3.38,,
3.28,,
3.22,,
3.38,,
3.59,,
3.66,,
3.53,,
3.47,,
3.59,,
3.66,,
3.66,,
3.47,,
3.59,,
3.66,,
3.66,,
3.63,,
3.56,,
3.53,,
3.44,,
3.63,,
3.91,,
4.09,,
3.81,,
3.75,,
3.75,,
3.84,,
3.72,,
3.75,,
3.72,,
3.75,,
3.44,,
2.84,,
2.56,,
2.94,,
2.5,,
2.19,,
1.72,,
1.63,,
1.63,,
2.28,,
2.38,,
2.41,,
2.22,,
2.25,,
2.25,,
2.13,,
2.08,,
2.09,,
2.16,,
2.25,,
2.13,,
2.16,,
2.03,,
2.06,,
2.0,,
2.0,,
2.0,,
2.19,,
2.31,,
2.25,,
2.19,,
2.19,,
2.22,,
2.25,,
2.22,,
2.41,,
2.52,,
2.66,,
2.56,,
2.5,,
2.63,,
2.69,,
2.72,,
2.66,,
2.78,,
2.72,,
2.66,,
2.69,,
2.72,,
2.59,,
2.56,,
2.59,,
2.59,,
2.63,,
2.78,,
2.75,,
2.84,,
2.47,,
2.53,,
2.47,,
2.41,,
2.38,,
2.31,,
2.31,,
2.28,,
2.09,,
2.19,,
2.28,,
2.38,,
2.25,,
2.28,,
2.28,,
2.34,,
2.34,,
2.28,,
2.13,,
2.16,,
2.19,,
2.16,,
2.16,,
2.22,,
2.28,,
2.38,,
2.5,,
2.41,,
2.38,,
2.72,,
2.78,,
2.75,,
2.78,,
2.81,,
2.73,,
2.84,,
2.81,,
2.88,,
3.0,,
3.03,,
3.09,,
3.09,,
3.16,,
3.03,,
3.03,,
3.09,,
3.03,,
3.13,,
3.22,,
3.13,,
3.09,,
3.13,,
3.09,,
2.97,,
2.88,,
2.94,,
3.03,,
2.91,,
2.91,,
2.88,,
2.97,,
3.22,,
3.41,,
3.44,,
3.53,,
3.5,,
3.48,,
3.19,,
3.28,,
3.28,,
3.22,,
3.22,,
3.25,,
3.28,,
3.41,,
3.53,,
3.66,,
3.66,,
3.53,,
3.5,,
3.66,,
3.72,,
3.63,,
3.66,,
3.48,,
3.44,,
3.31,,
3.34,,
3.44,,
3.63,,
3.47,,
3.41,,
3.44,,
3.34,,
3.25,,
3.31,,
3.38,,
3.41,,
3.38,,
3.53,,
3.63,,
3.59,,
3.56,,
3.69,,
3.72,,
3.84,,
3.81,,
3.78,,
3.69,,
3.72,,
3.59,,
3.53,,
3.5,,
3.53,,
3.59,,
3.78,,
3.81,,
3.72,,
3.69,,
3.66,,
3.53,,
3.63,,
3.63,,
3.63,,
3.66,,
3.66,,
3.56,,
3.56,,
3.5,,
3.56,,
3.75,,
3.69,,
3.66,,
3.59,,
3.42,,
3.34,,
3.41,,
3.34,,
3.38,,
3.17,,
3.19,,
3.25,,
3.34,,
3.34,,
3.31,,
3.27,,
3.19,,
3.25,,
3.17,,
3.06,,
3.0,,
3.0,,
2.97,,
3.16,,
3.06,,
3.09,,
3.13,,
3.03,,
3.13,,
3.19,,
3.19,,
3.22,,
3.28,,
3.3,,
3.31,,
3.19,,
3.28,,
3.22,,
3.16,,
3.25,,
3.44,,
3.56,,
3.56,,
3.56,,
3.52,,
3.47,,
3.44,,
3.41,,
3.53,,
3.53,,
3.5,,
3.47,,
3.5,,
3.52,,
3.59,,
3.56,,
3.56,,
3.5,,
3.47,,
3.5,,
3.47,,
3.41,,
3.34,,
3.28,,
3.31,,
3.41,,
3.38,,
3.38,,
3.41,,
3.5,,
3.47,,
3.41,,
3.25,,
3.11,,
3.03,,
3.09,,
3.0,,
3.13,,
3.03,,
3.06,,
3.06,,
3.06,,
3.16,,
3.16,,
3.22,,
3.14,,
3.13,,
3.06,,
2.91,,
2.88,,
3.03,,
3.0,,
3.05,,
3.09,,
3.03,,
3.08,,
3.16,,
3.19,,
3.34,,
3.34,,
3.45,,
3.47,,
3.44,,
3.41,,
3.41,,
3.34,,
3.31,,
3.38,,
3.41,,
3.5,,
3.63,,
3.66,,
3.63,,
3.59,,
3.63,,
3.63,,
3.59,,
3.61,,
3.63,,
3.72,,
3.78,,
3.75,,
3.66,,
3.66,,
3.67,,
3.69,,
3.75,,
3.69,,
3.72,,
3.69,,
3.59,,
3.69,,
3.72,,
3.69,,
3.72,,
3.84,,
4.0,,
3.88,,
3.81,,
3.72,,
3.78,,
3.88,,
3.97,,
3.94,,
4.13,,
4.13,,
4.0,,
3.84,,
3.86,,
3.86,,
3.88,,
3.91,,
3.84,,
3.81,,
3.69,,
3.69,,
3.59,,
3.63,,
3.56,,
3.63,,
