date,URI,dcf,Deviation
1997-12-18,15.0,,
1997-12-19,15.5,,
1997-12-22,15.0,,
1997-12-23,15.5,,
1997-12-24,16.25,,
1997-12-26,17.0,,
1997-12-29,17.81,,
1997-12-30,17.94,,
1997-12-31,19.31,,
1998-01-02,20.06,,
1998-01-05,18.81,,
1998-01-06,19.38,,
1998-01-07,18.88,,
1998-01-08,18.44,,
1998-01-09,18.25,,
1998-01-12,17.81,,
1998-01-13,19.88,,
1998-01-14,20.63,,
1998-01-15,21.13,,
1998-01-16,21.38,,
1998-01-20,21.94,,
1998-01-21,22.25,,
1998-01-22,22.06,,
1998-01-23,21.75,,
1998-01-26,21.88,,
1998-01-27,22.19,,
1998-01-28,23.0,,
1998-01-29,23.63,,
1998-01-30,23.88,,
1998-02-02,24.5,,
1998-02-03,24.31,,
1998-02-04,25.5,,
1998-02-05,24.94,,
1998-02-06,25.63,,
1998-02-09,26.0,,
1998-02-10,26.5,,
1998-02-11,27.13,,
1998-02-12,26.5,,
1998-02-13,26.06,,
1998-02-17,26.88,,
1998-02-18,25.81,,
1998-02-19,24.56,,
1998-02-20,24.63,,
1998-02-23,25.31,,
1998-02-24,25.19,,
1998-02-25,25.44,,
1998-02-26,25.13,,
1998-02-27,24.69,,
1998-03-02,24.94,,
1998-03-03,25.5,,
1998-03-04,26.38,,
1998-03-05,25.56,,
1998-03-06,25.56,,
1998-03-09,25.56,,
1998-03-10,25.13,,
1998-03-11,25.13,,
1998-03-12,25.38,,
1998-03-13,25.5,,
1998-03-16,25.06,,
1998-03-17,25.63,,
1998-03-18,24.25,,
1998-03-19,24.5,,
1998-03-20,23.5,,
1998-03-23,21.94,,
1998-03-24,24.38,,
1998-03-25,24.88,,
1998-03-26,24.25,,
1998-03-27,25.25,,
1998-03-30,24.56,,
1998-03-31,26.0,,
1998-04-01,25.31,,
1998-04-02,25.31,,
1998-04-03,25.75,,
1998-04-06,25.31,,
1998-04-07,24.38,,
1998-04-08,24.75,,
1998-04-09,25.13,,
1998-04-13,25.88,,
1998-04-14,29.88,,
1998-04-15,30.13,,
1998-04-16,31.38,,
1998-04-17,31.5,,
1998-04-20,30.25,,
1998-04-21,31.0,,
1998-04-22,31.63,,
1998-04-23,30.5,,
1998-04-24,30.5,,
1998-04-27,30.5,,
1998-04-28,34.06,,
1998-04-29,34.5,,
1998-04-30,34.44,,
1998-05-01,34.5,,
1998-05-04,34.63,,
1998-05-05,35.13,,
1998-05-06,35.5,,
1998-05-07,34.88,,
1998-05-08,35.5,,
1998-05-11,36.56,,
1998-05-12,36.56,,
1998-05-13,37.0,,
1998-05-14,36.25,,
1998-05-15,36.13,,
1998-05-18,33.75,,
1998-05-19,33.75,,
1998-05-20,33.94,,
1998-05-21,33.94,,
1998-05-22,33.94,,
1998-05-26,35.25,,
1998-05-27,34.5,,
1998-05-28,34.13,,
1998-05-29,34.5,,
1998-06-01,34.94,,
1998-06-02,35.0,,
1998-06-03,36.0,,
1998-06-04,36.0,,
1998-06-05,35.44,,
1998-06-08,35.38,,
1998-06-09,35.75,,
1998-06-10,35.44,,
1998-06-11,35.0,,
1998-06-12,34.31,,
1998-06-15,33.38,,
1998-06-16,35.75,,
1998-06-17,36.38,,
1998-06-18,35.88,,
1998-06-19,36.0,,
1998-06-22,36.38,,
1998-06-23,37.06,,
1998-06-24,37.22,,
1998-06-25,38.88,,
1998-06-26,39.63,,
1998-06-29,41.13,,
1998-06-30,42.0,,
1998-07-01,41.75,,
1998-07-02,41.69,,
1998-07-06,42.19,,
1998-07-07,43.88,,
1998-07-08,45.38,,
1998-07-09,45.25,,
1998-07-10,44.44,,
1998-07-13,46.06,,
1998-07-14,45.0,,
1998-07-15,45.19,,
1998-07-16,45.94,,
1998-07-17,46.44,,
1998-07-20,48.0,,
1998-07-21,46.31,,
1998-07-22,44.38,,
1998-07-23,43.0,,
1998-07-24,43.25,,
1998-07-27,41.75,,
1998-07-28,38.81,,
1998-07-29,36.81,,
1998-07-30,35.19,,
1998-07-31,33.94,,
1998-08-03,33.94,,
1998-08-04,34.56,,
1998-08-05,36.0,,
1998-08-06,35.69,,
1998-08-07,35.5,,
1998-08-10,34.94,,
1998-08-11,33.75,,
1998-08-12,33.69,,
1998-08-13,31.13,,
1998-08-14,31.25,,
1998-08-17,29.0,,
1998-08-18,32.88,,
1998-08-19,33.13,,
1998-08-20,31.5,,
1998-08-21,30.81,,
1998-08-24,30.0,,
1998-08-25,29.88,,
1998-08-26,27.81,,
1998-08-27,25.0,,
1998-08-28,26.0,,
1998-08-31,19.5,,
1998-09-01,18.13,,
1998-09-02,19.81,,
1998-09-03,20.0,,
1998-09-04,20.13,,
1998-09-08,20.75,,
1998-09-09,19.56,,
1998-09-10,18.5,,
1998-09-11,19.0,,
1998-09-14,20.56,,
1998-09-15,21.06,,
1998-09-16,21.69,,
1998-09-17,20.25,,
1998-09-18,20.06,,
1998-09-21,20.25,,
1998-09-22,20.56,,
1998-09-23,20.13,,
1998-09-24,20.63,,
1998-09-25,20.19,,
1998-09-28,20.75,,
1998-09-29,21.38,,
1998-09-30,23.94,,
1998-10-01,21.63,,
1998-10-02,21.0,,
1998-10-05,20.06,,
1998-10-06,18.44,,
1998-10-07,14.44,,
1998-10-08,12.44,,
1998-10-09,14.88,,
1998-10-12,18.19,,
1998-10-13,18.25,,
1998-10-14,18.06,,
1998-10-15,20.13,,
1998-10-16,21.44,,
1998-10-19,22.13,,
1998-10-20,22.88,,
1998-10-21,24.0,,
1998-10-22,24.5,,
1998-10-23,24.94,,
1998-10-26,25.69,,
1998-10-27,25.5,,
1998-10-28,26.25,,
1998-10-29,26.69,,
1998-10-30,26.88,,
1998-11-02,27.0,,
1998-11-03,27.31,,
1998-11-04,28.56,,
1998-11-05,27.88,,
1998-11-06,28.44,,
1998-11-09,28.0,,
1998-11-10,23.75,,
1998-11-11,24.06,,
1998-11-12,25.19,,
1998-11-13,25.94,,
1998-11-16,26.38,,
1998-11-17,26.5,,
1998-11-18,26.75,,
1998-11-19,26.0,,
1998-11-20,26.19,,
1998-11-23,27.19,,
1998-11-24,26.25,,
1998-11-25,26.19,,
1998-11-27,26.44,,
1998-11-30,26.25,,
1998-12-01,25.25,,
1998-12-02,24.75,,
1998-12-03,23.06,,
1998-12-04,22.94,,
1998-12-07,22.63,,
1998-12-08,21.56,,
1998-12-09,22.94,,
1998-12-10,22.81,,
1998-12-11,24.0,,
1998-12-14,22.75,,
1998-12-15,21.75,,
1998-12-16,22.0,,
1998-12-17,21.75,,
1998-12-18,21.56,,
1998-12-21,22.25,,
1998-12-22,25.19,,
1998-12-23,27.13,,
1998-12-24,29.06,,
1998-12-28,29.13,,
1998-12-29,30.5,,
1998-12-30,32.0,,
1998-12-31,33.13,,
1999-01-04,31.19,,
1999-01-05,30.94,,
1999-01-06,31.81,,
1999-01-07,31.63,,
1999-01-08,32.0,,
1999-01-11,31.25,,
1999-01-12,30.75,,
1999-01-13,31.69,,
1999-01-14,33.13,,
1999-01-15,34.5,,
1999-01-19,34.06,,
1999-01-20,34.38,,
1999-01-21,34.38,,
1999-01-22,34.69,,
1999-01-25,35.06,,
1999-01-26,34.63,,
1999-01-27,33.0,,
1999-01-28,34.25,,
1999-01-29,35.25,,
1999-02-01,35.06,,
1999-02-02,34.94,,
1999-02-03,34.31,,
1999-02-04,33.88,,
1999-02-05,32.88,,
1999-02-08,31.81,,
1999-02-09,31.38,,
1999-02-10,30.5,,
1999-02-11,32.94,,
1999-02-12,32.19,,
1999-02-16,32.38,,
1999-02-17,32.13,,
1999-02-18,32.44,,
1999-02-19,31.0,,
1999-02-22,32.94,,
1999-02-23,33.25,,
1999-02-24,33.5,,
1999-02-25,32.56,,
1999-02-26,32.19,,
1999-03-01,32.5,,
1999-03-02,33.0,,
1999-03-03,31.69,,
1999-03-04,30.38,,
1999-03-05,30.19,,
1999-03-08,30.31,,
1999-03-09,30.06,,
1999-03-10,30.0,,
1999-03-11,30.06,,
1999-03-12,30.0,,
1999-03-15,30.06,,
1999-03-16,30.0,,
1999-03-17,27.5,,
1999-03-18,26.44,,
1999-03-19,27.75,,
1999-03-22,27.13,,
1999-03-23,26.63,,
1999-03-24,26.5,,
1999-03-25,26.31,,
1999-03-26,28.5,,
1999-03-29,31.13,,
1999-03-30,30.0,,
1999-03-31,28.5,,
1999-04-01,28.75,,
1999-04-05,27.81,,
1999-04-06,26.81,,
1999-04-07,26.13,,
1999-04-08,26.88,,
1999-04-09,26.63,,
1999-04-12,26.5,,
1999-04-13,27.38,,
1999-04-14,29.81,,
1999-04-15,30.5,,
1999-04-16,30.81,,
1999-04-19,32.06,,
1999-04-20,32.0,,
1999-04-21,31.75,,
1999-04-22,30.0,,
1999-04-23,30.13,,
1999-04-26,29.88,,
1999-04-27,29.94,,
1999-04-28,30.75,,
1999-04-29,30.69,,
1999-04-30,29.81,,
1999-05-03,29.0,,
1999-05-04,29.75,,
1999-05-05,30.13,,
1999-05-06,29.88,,
1999-05-07,30.5,,
1999-05-10,30.06,,
1999-05-11,29.69,,
1999-05-12,28.88,,
1999-05-13,28.69,,
1999-05-14,28.56,,
1999-05-17,28.56,,
1999-05-18,29.0,,
1999-05-19,29.19,,
1999-05-20,28.63,,
1999-05-21,30.06,,
1999-05-24,30.31,,
1999-05-25,30.25,,
1999-05-26,29.44,,
1999-05-27,30.5,,
1999-05-28,30.0,,
1999-06-01,29.88,,
1999-06-02,27.75,,
1999-06-03,28.06,,
1999-06-04,28.0,,
1999-06-07,27.06,,
1999-06-08,26.25,,
1999-06-09,25.81,,
1999-06-10,25.94,,
1999-06-11,25.81,,
1999-06-14,25.5,,
1999-06-15,25.75,,
1999-06-16,27.0,,
1999-06-17,26.88,,
1999-06-18,26.88,,
1999-06-21,27.0,,
1999-06-22,27.19,,
1999-06-23,26.81,,
1999-06-24,26.25,,
1999-06-25,26.13,,
1999-06-28,27.06,,
1999-06-29,29.19,,
1999-06-30,29.5,,
1999-07-01,29.06,,
1999-07-02,29.88,,
1999-07-06,29.5,,
1999-07-07,29.5,,
1999-07-08,28.94,,
1999-07-09,29.56,,
1999-07-12,29.06,,
1999-07-13,29.63,,
1999-07-14,29.25,,
1999-07-15,29.13,,
1999-07-16,30.19,,
1999-07-19,30.69,,
1999-07-20,30.44,,
1999-07-21,29.94,,
1999-07-22,30.63,,
1999-07-23,30.63,,
1999-07-26,29.44,,
1999-07-27,29.88,,
1999-07-28,30.06,,
1999-07-29,28.88,,
1999-07-30,28.94,,
1999-08-02,27.25,,
1999-08-03,27.25,,
1999-08-04,26.69,,
1999-08-05,26.0,,
1999-08-06,24.25,,
1999-08-09,24.94,,
1999-08-10,24.56,,
1999-08-11,23.75,,
1999-08-12,24.31,,
1999-08-13,24.88,,
1999-08-16,24.5,,
1999-08-17,24.13,,
1999-08-18,24.63,,
1999-08-19,23.63,,
1999-08-20,24.06,,
1999-08-23,26.25,,
1999-08-24,27.94,,
1999-08-25,28.06,,
1999-08-26,27.56,,
1999-08-27,26.69,,
1999-08-30,25.06,,
1999-08-31,24.44,,
1999-09-01,24.31,,
1999-09-02,24.75,,
1999-09-03,24.38,,
1999-09-07,25.19,,
1999-09-08,25.0,,
1999-09-09,24.25,,
1999-09-10,24.5,,
1999-09-13,25.13,,
1999-09-14,25.5,,
1999-09-15,25.25,,
1999-09-16,24.5,,
1999-09-17,24.63,,
1999-09-20,23.75,,
1999-09-21,23.06,,
1999-09-22,22.56,,
1999-09-23,22.38,,
1999-09-24,22.25,,
1999-09-27,23.0,,
1999-09-28,22.94,,
1999-09-29,22.5,,
1999-09-30,21.75,,
1999-10-01,21.81,,
1999-10-04,21.44,,
1999-10-05,21.5,,
1999-10-06,21.25,,
1999-10-07,19.31,,
1999-10-08,19.81,,
1999-10-11,20.06,,
1999-10-12,18.75,,
1999-10-13,18.69,,
1999-10-14,18.13,,
1999-10-15,16.44,,
1999-10-18,16.0,,
1999-10-19,16.06,,
1999-10-20,18.13,,
1999-10-21,17.56,,
1999-10-22,18.13,,
1999-10-25,18.13,,
1999-10-26,17.94,,
1999-10-27,17.44,,
1999-10-28,18.5,,
1999-10-29,18.63,,
1999-11-01,19.75,,
1999-11-02,18.56,,
1999-11-03,18.38,,
1999-11-04,18.13,,
1999-11-05,17.56,,
1999-11-08,16.94,,
1999-11-09,16.5,,
1999-11-10,16.69,,
1999-11-11,16.5,,
1999-11-12,16.25,,
1999-11-15,16.0,,
1999-11-16,15.13,,
1999-11-17,15.06,,
1999-11-18,15.63,,
1999-11-19,15.56,,
1999-11-22,15.25,,
1999-11-23,14.69,,
1999-11-24,15.81,,
1999-11-26,15.69,,
1999-11-29,16.19,,
1999-11-30,17.25,,
1999-12-01,18.81,,
1999-12-02,19.06,,
