Name of Share Issuer,Net Short Position (%)
HAMMERSON PLC,13.52
CINEWORLD GROUP,9.299999999999999
METRO BANK PLC,8.95
PREMIER OIL PLC,8.15
SAINSBURY (J) PLC,8.13
Royal Mail Plc,7.62
TULLOW OIL PLC,7.530000000000001
CARILLION PLC,7.16
PEARSON PLC,6.83
TUI AG,5.67
PETROPAVLOVSK PLC,5.6
DOMINO'S PIZZA GROUP PLC,5.450000000000001
PETROFAC LTD,5.42
BABCOCK INTL GROUP PLC,4.949999999999999
PETS AT HOME GROUP PLC,4.92
WEIR GROUP PLC/THE,4.9
BLUE PRISM GROUP PLC,4.859999999999999
IQE PLC,4.68
FUTURE PLC,4.4
CAPITA PLC,4.25
VODAFONE GROUP PLC,4.0200000000000005
WM MORRISON SUPERMARKETS,3.88
CRODA INTERNATIONAL PLC,3.85
MICRO FOCUS INTERNATIONAL,3.71
GVC Holdings Plc,3.59
ASHMORE GROUP PLC,3.52
WOOD GROUP (JOHN) PLC,3.4899999999999998
KEYWORDS STUDIOS PLC,3.37
ASCENTIAL PLC,3.25
MARKS & SPENCER GROUP PLC,3.24
SMITH (DAVID S) HOLDINGS PLC,3.23
HURRICANE ENERGY PLC,3.14
Primary Health Properties PLC,3.1100000000000003
ULTRA ELECTRONICS HLDGS PLC,3.02
INTERCONTINENTAL HOTELS GROUP PLC,3.0
N. Brown Group,2.9699999999999998
VICTREX PLC,2.9200000000000004
RESTAURANT GROUP PLC,2.87
ITV PLC,2.8200000000000003
AUTO TRADER GROUP PLC,2.55
MARSTON'S PLC,2.4000000000000004
VITEC GROUP PLC (THE),2.37
HISCOX LTD,2.35
B&M EUROPEAN VALUE RETAIL S.A.,2.26
DAILY MAIL & GENERAL TRUST,2.2399999999999998
A.G. Barr PLC,2.15
JOHNSON MATTHEY PLC,2.11
CREST NICHOLSON HLDGS PLC,1.9700000000000002
CRANEWARE PLC,1.97
DIGNITY PLC,1.9
RIGHTMOVE PLC,1.8599999999999999
REACH PLC,1.83
BRITISH LAND CO PLC,1.75
AGGREKO PLC,1.74
ST JAMES'S PLACE PLC,1.73
HARGREAVES LANSDOWN PLC,1.7200000000000002
LANCASHIRE HOLDINGS LTD,1.69
IOMART GROUP PLC,1.62
Signature Aviation Plc,1.6099999999999999
MCCARTHY & STONE PLC,1.56
AA PLC,1.53
Aston Martin Lagonda Global Holdings Plc,1.52
LONDON MINING PLC,1.51
PENDRAGON PLC,1.49
PORVAIR PLC,1.48
STRIX GROUP PLC,1.46
SMART METERING SYSTEMS PLC,1.4500000000000002
Devro plc,1.45
TalkTalk Telecom Group PLC,1.42
ANGLO AMERICAN PLC,1.41
Galliford Try plc,1.39
DUNELM GROUP PLC,1.37
Kier Group plc,1.3199999999999998
GREENCORE GROUP PLC,1.31
Trainline PLC,1.2799999999999998
FIRST DERIVATIVES PLC,1.26
PZ CUSSONS PLC,1.2599999999999998
AFRICAN MINERALS LTD,1.24
BURBERRY GROUP PLC,1.23
HALMA PLC,1.21
BRITVIC PLC,1.19
Dialight PLC,1.18
BOOHOO.COM PLC,1.15
NATIONAL EXPRESS GROUP PLC,1.1400000000000001
LEARNING TECHNOLOGIES GROUP PLC,1.14
MELROSE INDUSTRIES PLC,1.13
FIRSTGROUP PLC,1.11
WHITBREAD PLC,1.1
CARNIVAL PLC,1.08
PAYPOINT PLC,1.07
NEWRIVER REIT PLC,1.06
REDEFINE INTL PLC,1.04
SENIOR PLC,1.0
BEAZLEY PLC,0.99
EQUINITI GROUP PLC,0.96
SABRE INSURANCE GROUP PLC,0.93
GULF KEYSTONE PETROLEUM LTD,0.88
IDEAGEN PLC,0.84
IG GROUP HOLDINGS PLC,0.82
HYVE GROUP PLC,0.81
Invesco DB Commodity Index Tracking Fund,0.8
Arrow Global Group plc,0.79
Mothercare Plc,0.78
CVS GROUP PLC,0.76
AJ BELL PLC,0.72
PLUS500 LTD,0.7
HILTON FOOD GROUP PLC,0.68
ANIMALCARE GROUP PLC,0.67
ESSENTRA PLC,0.66
LAND SECURITIES GROUP PLC,0.64
SSP GROUP PLC,0.63
NEXT PLC,0.61
Cranswick plc,0.6
IMImobile Plc,0.59
GENEL ENERGY PLC,0.58
MITCHELLS & BUTLERS PLC,0.57
CAIRN ENERGY PLC,0.56
KINGFISHER PLC,0.55
Bakkavor Group plc,0.54
Frasers Group Plc,0.53
CLINIGEN GROUP PLC,0.52
LLOYDS BANKING GROUP PLC,0.51
4IMPRINT GROUP PLC,0.5
